"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1418","Тест 4: Всплывающее окно закрывается кликом по крестику","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","0","Тест 3: Клик по кнопке показать/скрыть пароль подсвечивает поле","tests","2026-07-23","broken","2026-07-23","TestPasswordRecovery","test_forgot_password","",""
"","1969","Тест 6: Залогиненный пользователь может оформить заказ","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","1320","Тест 5: Номер заказа появляется в разделе «В работе»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","842","Тест 1: Переход по клику на «Конструктор»","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","4443","Тест 5: Номер заказа появляется на странице «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","2071","Тест 5: Добавление ингредиента в заказ увеличивает каунтер","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","790","Тест 1: Переход по клику на «Конструктор»","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","4977","Тест 2: Заказы из «История заказов» отображаются на «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1983","Тест 6: Залогиненный пользователь может оформить заказ","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","0","Тест 3: Клик по кнопке показать/скрыть пароль подсвечивает поле","tests","2026-07-23","broken","2026-07-23","TestPasswordRecovery","test_forgot_password","",""
"","1304","Тест 2: Переход по клику на «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","926","Тест 1: Клик на заказ открывает всплывающее окно с деталями","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1628","Тест 4: Всплывающее окно закрывается кликом по крестику","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","2025","Тест 5: Добавление ингредиента в заказ увеличивает каунтер","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","593","Тест 3: Выход из аккаунта","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","1180","Тест 3: Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","5160","Тест 2: Заказы из «История заказов» отображаются на «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1179","Тест 2: Ввод почты зарегистрированного пользователя и клик 'Восстановить'","tests","2026-07-25","passed","2026-07-25","TestPasswordRecovery","test_forgot_password","",""
"","26949","Тест 4: Счётчик «Выполнено за сегодня» увеличивается после нового заказа","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","26944","Тест 3: Счётчик «Выполнено за всё время» увеличивается после нового заказа","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1136","Тест 3: Выход из аккаунта","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","2252","Тест 1: Переход по клику на «Личный кабинет»","tests","2026-07-23","passed","2026-07-23","TestProfile","test_forgot_password","",""
"","1748","Тест 2: Переход в раздел «История заказов»","tests","2026-07-23","broken","2026-07-23","TestProfile","test_forgot_password","",""
"","0","Тест 2: Ввод почты зарегистрированного пользователя и клик 'Восстановить'","","2026-07-23","broken","2026-07-23","TestPasswordRecovery","","",""
"","27044","Тест 3: Счётчик «Выполнено за всё время» увеличивается после нового заказа","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","90","Тест 2: Переход в раздел «История заказов»","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","0","Тест 1: Переход на страницу восстановления пароля по кнопке","tests","2026-07-23","broken","2026-07-23","TestPasswordRecovery","test_forgot_password","",""
"","71","Тест 1: Переход по клику на «Личный кабинет»","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","1889","Тест 3: Выход из аккаунта","tests","2026-07-23","broken","2026-07-23","TestProfile","test_forgot_password","",""
"","861","Тест 1: Клик на заказ открывает всплывающее окно с деталями","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","834","Тест 3: Клик на ингредиент открывает всплывающее окно с деталями","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","770","Тест 1: Переход на страницу восстановления пароля по кнопке","tests","2026-07-25","passed","2026-07-25","TestPasswordRecovery","test_forgot_password","",""
"","0","Тест 2: Ввод почты зарегистрированного пользователя и клик 'Восстановить'","","2026-07-23","broken","2026-07-23","TestPasswordRecovery","conftest","",""
"","0","Тест 2: Ввод почты зарегистрированного пользователя и клик 'Восстановить'","tests","2026-07-23","broken","2026-07-23","TestPasswordRecovery","test_forgot_password","",""
"","0","Тест 1: Переход на страницу восстановления пароля по кнопке","","2026-07-23","skipped","2026-07-23","","","",""
"","4316","Тест 5: Номер заказа появляется на странице «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1399","Тест 5: Номер заказа появляется в разделе «В работе»","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","1291","Тест 2: Переход по клику на «Лента заказов»","tests","2026-07-25","passed","2026-07-25","TestConstructor","test_constructor","",""
"","1140","Тест 2: Ввод почты зарегистрированного пользователя и клик 'Восстановить'","tests","2026-07-25","passed","2026-07-25","TestPasswordRecovery","test_forgot_password","",""
"","630","Тест 2: Переход в раздел «История заказов»","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","0","Тест 3: Клик по кнопке показать/скрыть пароль подсвечивает поле","","2026-07-23","broken","2026-07-23","TestPasswordRecovery","","",""
"","0","Тест 1: Переход на страницу восстановления пароля по кнопке","","2026-07-23","broken","2026-07-23","TestPasswordRecovery","","",""
"","1070","Тест 1: Переход на страницу восстановления пароля по кнопке","tests","2026-07-25","passed","2026-07-25","TestPasswordRecovery","test_forgot_password","",""
"","27117","Тест 4: Счётчик «Выполнено за сегодня» увеличивается после нового заказа","tests","2026-07-25","passed","2026-07-25","TestFeed","test_feed","",""
"","0","Тест 1: Переход на страницу восстановления пароля по кнопке","","2026-07-23","broken","2026-07-23","TestPasswordRecovery","conftest","",""
"","0","Тест 3: Клик по кнопке показать/скрыть пароль подсвечивает поле","tests","2026-07-23","broken","2026-07-23","TestPasswordRecovery","test_forgot_password","",""
"","2239","Тест 2: Переход в раздел «История заказов»","tests","2026-07-23","passed","2026-07-23","TestProfile","test_forgot_password","",""
"","1825","Тест 1: Переход по клику на «Личный кабинет»","tests","2026-07-23","passed","2026-07-23","TestProfile","test_forgot_password","",""
"","582","Тест 1: Переход по клику на «Личный кабинет»","tests","2026-07-25","passed","2026-07-25","TestProfile","test_profile","",""
"","2884","Тест 3: Выход из аккаунта","tests","2026-07-23","passed","2026-07-23","TestProfile","test_forgot_password","",""
